epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,554.182,0.90242,0.5494,1.1597,0.99086,0.99349,0.99485,0.82144,0.71156,0.38643,1.09325,0.0006536,0.0006536,0.0006536
70,562.168,0.91331,0.55131,1.1899,0.98924,0.99693,0.99485,0.80904,0.74694,0.39478,1.10123,0.0006338,0.0006338,0.0006338
71,570.158,0.87649,0.5535,1.18627,0.99214,0.99132,0.99489,0.83617,0.6748,0.37259,1.05939,0.000614,0.000614,0.000614
72,578.6,0.90437,0.5721,1.1873,0.99566,0.99521,0.99482,0.84066,0.67313,0.36911,1.05468,0.0005942,0.0005942,0.0005942
73,586.752,0.87144,0.53617,1.15429,0.99747,0.99132,0.99491,0.83872,0.66795,0.36545,1.05503,0.0005744,0.0005744,0.0005744
74,594.639,0.8228,0.52947,1.14543,0.99342,0.99566,0.99493,0.83883,0.66083,0.36766,1.0477,0.0005546,0.0005546,0.0005546
75,602.559,0.89622,0.54428,1.16774,0.99561,0.99566,0.99493,0.84018,0.66414,0.35994,1.05072,0.0005348,0.0005348,0.0005348
76,610.434,0.86441,0.52557,1.14627,0.99134,0.99271,0.99487,0.8257,0.6874,0.36768,1.05674,0.000515,0.000515,0.000515
77,618.343,0.85168,0.53708,1.14188,0.99576,0.99349,0.99496,0.84974,0.63303,0.34902,1.0207,0.0004952,0.0004952,0.0004952
78,626.572,0.80883,0.52955,1.13119,0.99352,0.99757,0.99469,0.85279,0.62299,0.35205,1.01691,0.0004754,0.0004754,0.0004754
79,634.77,0.78881,0.50352,1.09463,0.99139,0.99939,0.99478,0.86498,0.59863,0.3433,1.00349,0.0004556,0.0004556,0.0004556
80,643.044,0.84479,0.54834,1.1716,0.99673,0.99783,0.99498,0.86434,0.59452,0.33712,1.00041,0.0004358,0.0004358,0.0004358
81,650.875,0.82279,0.52766,1.11615,0.99502,0.99783,0.99496,0.86519,0.60898,0.3409,1.01097,0.000416,0.000416,0.000416
82,659.164,0.76655,0.49901,1.10903,0.99782,0.99232,0.995,0.88119,0.56394,0.32358,0.98116,0.0003962,0.0003962,0.0003962
83,667.416,0.75355,0.49008,1.09923,1,0.99348,0.995,0.87677,0.56107,0.33054,0.98261,0.0003764,0.0003764,0.0003764
84,675.375,0.75631,0.49252,1.08897,0.99415,0.99349,0.99498,0.87197,0.55995,0.3302,0.97942,0.0003566,0.0003566,0.0003566
85,683.372,0.78282,0.49607,1.11563,0.98927,0.9997,0.99493,0.88004,0.55503,0.32185,0.97681,0.0003368,0.0003368,0.0003368
86,691.33,0.74911,0.47872,1.07907,0.99255,1,0.99496,0.87601,0.56707,0.32282,0.97634,0.000317,0.000317,0.000317
87,699.288,0.76879,0.5169,1.09108,0.99567,0.9968,0.99493,0.87521,0.5711,0.32172,0.98133,0.0002972,0.0002972,0.0002972
88,707.246,0.75768,0.49372,1.07831,0.99136,0.99571,0.99496,0.8802,0.52612,0.30629,0.95865,0.0002774,0.0002774,0.0002774
89,715.226,0.74529,0.46843,1.08906,0.99119,0.99783,0.995,0.88924,0.51025,0.30449,0.94827,0.0002576,0.0002576,0.0002576
90,723.571,0.73242,0.46642,1.0778,0.9914,0.99978,0.99493,0.88187,0.53199,0.3081,0.95786,0.0002378,0.0002378,0.0002378
91,732.526,0.7259,0.46907,1.04473,0.99339,0.99783,0.99498,0.87976,0.53986,0.30928,0.96422,0.000218,0.000218,0.000218
92,740.565,0.66055,0.39988,1.03214,0.99567,0.99804,0.99498,0.87676,0.52452,0.31671,0.95412,0.0001982,0.0001982,0.0001982
93,748.503,0.63908,0.36971,1.00873,0.99783,0.99923,0.995,0.87815,0.53372,0.31112,0.95923,0.0001784,0.0001784,0.0001784
94,756.444,0.67808,0.36302,1.1259,0.99723,0.99783,0.995,0.88767,0.50769,0.29967,0.9439,0.0001586,0.0001586,0.0001586
95,764.333,0.57361,0.34043,0.98034,0.99692,0.99783,0.995,0.88897,0.49292,0.29589,0.93538,0.0001388,0.0001388,0.0001388
96,772.293,0.58963,0.34518,0.98209,0.99697,0.99783,0.995,0.89763,0.47266,0.28878,0.92695,0.000119,0.000119,0.000119
97,780.444,0.59133,0.33861,0.99247,0.99722,0.99783,0.995,0.89852,0.46876,0.28649,0.92475,9.92e-05,9.92e-05,9.92e-05
98,788.557,0.55141,0.33046,0.96557,0.99783,0.9978,0.995,0.90169,0.46605,0.28541,0.92357,7.94e-05,7.94e-05,7.94e-05
99,796.696,0.53188,0.3198,0.96382,0.99761,0.99783,0.995,0.90391,0.45398,0.28179,0.91791,5.96e-05,5.96e-05,5.96e-05
100,804.835,0.56722,0.32257,0.95628,0.99751,0.99783,0.995,0.90702,0.44986,0.27959,0.91509,3.98e-05,3.98e-05,3.98e-05
